start word,end word,solution,number of words
woe,bug,"woe,boe,bog,bug",4
detn,swam,"detn,dean,sean,swan,swam",5
copalm,unlust,"copalm,copals,corals,morals,morale,morate,norate,norite,porite,podite,iodite,indite,incite,uncite,uncate,uncase,uncast,uncost,unlost,unlust",20
jatha,tofts,"jatha,matha,matta,matts,motts,moots,toots,tofts",8
gugal,faxes,"gugal,dugal,dural,duras,dures,dares,fares,faxes",8
umu,pph,"umu,amu,ama,apa,ppa,pph",6
crissa,enrage,"crissa,crista,crusta,crusts,cruets,cruels,creels,creeks,creaks,creaky,creasy,crease,urease,unease,uncase,encase,encage,enrage",18
ganders,martlet,"ganders,banders,benders,bendees,bendies,bandies,candies,candles,cantles,mantles,mantlet,martlet",12
arend,tovah,"arend,trend,treed,trees,tyees,tyres,tores,toras,torah,tovah",10
takao,notre,"takao,talao,balao,ballo,bailo,baile,maile,moile,moire,noire,notre",11
krs,erg,"krs,ers,erg",3
pars,stag,"pars,pard,sard,saad,stad,stag",6
unc,zit,"unc,anc,ant,ait,zit",5
woldy,acted,"woldy,moldy,molds,moles,motes,aotes,antes,anted,acted",9
sax,hcf,"sax,wax,waf,haf,hcf",5
whush,eyrie,"whush,shush,smush,smuse,souse,house,horse,horme,forme,ferme,ferie,eerie,eyrie",13
peal,gulp,"peal,geal,gell,gull,gulp",5
anni,infl,"anni,anti,anta,inta,intl,infl",6
stuffs,arcana,"stuffs,scuffs,scurfs,scarfs,scards,scalds,scalls,spalls,spails,spaits,sprits,sprite,scrite,acrite,accite,arcite,arcate,arcane,arcana",19
quam,clat,"quam,guam,glam,clam,clat",5
cope,chou,"cope,cole,colk,cook,chok,chou",6
enc,peh,"enc,anc,ans,aes,pes,peh",6
slirt,cadge,"slirt,blirt,blart,blare,blame,blume,baume,bauge,badge,cadge",10
soree,recon,"soree,sorel,sowel,rowel,rowen,rowan,rewan,rewon,recon",9
nyet,alia,"nyet,neet,beet,blet,blit,alit,alia",7
pistle,chimbe,"pistle,fistle,fustle,fustee,fuster,faster,waster,waiter,whiter,whiner,whines,chines,chimes,chimbs,chimbe",15
lare,ione,"lare,lore,lone,ione",4
aby,acc,"aby,acy,acc",3
mim,gal,"mim,gim,gam,gal",4
truced,piracy,"truced,truces,cruces,cruses,causes,causus,caurus,carrus,carrys,careys,carets,carats,carate,parate,pirate,piraty,piracy",17
ter,vie,"ter,ver,vee,vie",4
kami,ruga,"kami,rami,ragi,raga,ruga",5
napu,nome,"napu,nape,nope,nome",4
cat,hug,"cat,hat,hut,hug",4
reg,ter,"reg,teg,ter",3
scr,rnd,"scr,sar,sad,rad,rnd",5
ersh,sank,"ersh,erth,eath,tath,tanh,tank,sank",7
hade,vite,"hade,vade,vide,vite",4
doo,dan,"doo,dao,dan",3
her,ile,"her,hee,ree,rle,ile",5
abase,drony,"abase,arase,prase,prose,prone,drone,drony",7
flix,peai,"flix,flax,flak,plak,peak,peai",6
yed,fay,"yed,fed,fad,fay",4
fugs,vino,"fugs,figs,fins,vins,vino",5
joking,eloped,"joking,coking,coling,colins,colies,copies,copier,copper,sopper,sooper,sloper,eloper,eloped",13
gained,augure,"gained,rained,raines,ramnes,ramees,rakees,rakers,lakers,lagers,eagers,eggers,aggers,augers,augurs,augure",15
prams,lated,"prams,prims,brims,brits,baits,batts,bates,bated,lated",9
tunu,thaw,"tunu,tund,tend,tead,thad,thaw",6
mamo,raga,"mamo,mama,rama,raga",4
arry,last,"arry,aery,hery,hert,hart,hast,last",7
cooley,khalat,"cooley,cooler,choler,chomer,chimer,chimar,chamar,chamal,khamal,khalal,khalat",11
josh,dour,"josh,bosh,bosk,bouk,bour,dour",6
ailed,chord,"ailed,aired,sired,shred,shoed,shoad,shoat,short,chort,chord",10
porc,life,"porc,pore,lore,lire,life",5
lie,foh,"lie,fie,foe,foh",4
pay,pah,"pay,pah",2
howe,acct,"howe,hole,hile,aile,acle,acce,acct",7
gabi,begs,"gabi,babi,babs,bags,begs",5
deem,gool,"deem,diem,diel,diol,dool,gool",6
liv,wud,"liv,lid,wid,wud",4
ptg,dcb,"ptg,peg,deg,deb,dcb",5
mev,fgn,"mev,men,fen,fgn",4
mosks,mouse,"mosks,moses,moues,mouls,moule,mouse",6
haulse,farers,"haulse,hausse,causse,causae,caudae,caudle,candle,handle,hangle,hangee,hanged,ranged,ranges,ranees,rakees,rakers,fakers,farers",18
agush,infra,"agush,abush,abuse,abune,abuna,abura,anura,antra,intra,infra",10
ropey,vairy,"ropey,dopey,dogey,dogly,doily,daily,dairy,vairy",8
init,mora,"init,inia,inta,iota,mota,mora",6
conoy,absis,"conoy,coney,corey,cores,cures,aures,auris,abris,absis",9
noiler,mocked,"noiler,coiler,cooler,cooker,cocker,mocker,mocked",7
rok,ute,"rok,roe,rte,ute",4
rikk,puny,"rikk,rink,pink,punk,puny",5
raya,muts,"raya,maya,mays,mats,muts",5
beats,ruffe,"beats,heats,hefts,hafts,rafts,raffs,ruffs,ruffe",8
besan,antal,"besan,basan,balan,balas,galas,gulas,aulas,anlas,antas,antal",10
chimp,zoner,"chimp,chime,chine,chins,coins,conns,cones,zones,zoner",9
warning,breaker,"warning,warking,parking,perking,jerking,jerkins,jerkies,jerkier,perkier,peakier,peatier,platier,platter,blatter,blotter,bloater,bleater,bleaker,breaker",19
tubs,imid,"tubs,tube,aube,ambe,amie,amid,imid",7
hav,moc,"hav,lav,lac,mac,moc",5
caprid,oannes,"caprid,caprin,caplin,carlin,marlin,martin,marten,parten,parted,panted,panned,pannes,oannes",13
ibm,lhb,"ibm,ipm,lpm,lam,lab,lhb",6
bour,zion,"bour,boor,boon,zoon,zion",5
lingers,yipping,"lingers,hingers,hangers,hankers,hackers,hackees,hackies,hawkies,hawkins,hawking,harking,harping,happing,yapping,yipping",15
rattus,bunyah,"rattus,raptus,raphus,raphes,rashes,bashes,basher,basker,balker,balkar,balkan,balian,banian,banyan,bunyan,bunyah",16
elul,kath,"elul,exul,excl,exch,each,eath,kath",7
bonne,newer,"bonne,borne,boree,soree,sorer,serer,sewer,newer",8
modius,outmen,"modius,medius,medias,medial,menial,genial,genian,fenian,fenman,penman,pinman,tinman,titman,tutman,outman,outmen",16
gally,crois,"gally,golly,colly,cooly,cools,coops,crops,crois",8
awe,lbs,"awe,abe,abs,lbs",4
jai,fen,"jai,jan,fan,fen",4
ptt,ora,"ptt,att,art,ort,ora",5
bos,urd,"bos,cos,crs,urs,urd",5
legs,pica,"legs,pegs,pigs,pics,pica",5
crusts,ironic,"crusts,cruses,crises,crisis,crisic,critic,cretic,crenic,irenic,ironic",10
kins,avie,"kins,ains,awns,awes,aves,avis,avie",7
laney,tower,"laney,maney,money,moner,toner,tower",6
spin,crap,"spin,sain,cain,crin,cran,crap",6
helot,field,"helot,heloe,helve,delve,deave,drave,grave,grane,grant,giant,fiant,fient,fiend,field",14
mell,ragi,"mell,mall,mali,magi,ragi",5
tapa,oath,"tapa,capa,caph,cath,oath",5
shaban,trunks,"shaban,sharan,sharon,charon,chiron,chiros,chicos,chicks,thicks,tricks,trucks,trunks",12
nurl,ruby,"nurl,null,rull,ruly,ruby",5
hamel,stile,"hamel,camel,casel,cases,casts,caste,caite,saite,stite,stile",10
liq,via,"liq,lie,vie,via",4
caging,lunata,"caging,paging,pagina,patina,patana,patata,batata,balata,balate,banate,lanate,lunate,lunata",13
balan,grego,"balan,balas,bolas,bolts,dolts,doats,drats,drate,grate,grete,grege,grego",12
mayo,curl,"mayo,maro,caro,carl,curl",5
cetin,anlet,"cetin,retin,resin,resit,relit,relet,oelet,oylet,aylet,anlet",10
armit,reree,"armit,armet,armed,aimed,aired,sired,siree,sfree,rfree,reree",10
loupes,lanius,"loupes,louies,lories,tories,tonies,monies,monias,manias,manius,lanius",10
fakirs,atavic,"fakirs,fakers,rakers,ravers,revers,revets,resets,resees,restes,restis,restio,gestio,gestic,geotic,geonic,aeonic,atonic,atoxic,ataxic,atavic",20
pil,ghi,"pil,gil,gol,goi,ghi",5
much,pipy,"much,such,sich,pich,pith,pity,pipy",7
dwt,fee,"dwt,det,fet,fee",4
hears,cuban,"hears,heats,hents,cents,cunts,cunas,cubas,cuban",8
bod,cfh,"bod,cod,cfd,cfh",4
mrs,kui,"mrs,krs,kas,kai,kui",5
congo,regur,"congo,bongo,bongs,bonds,bends,beads,beaus,beaut,becut,recut,recur,regur",12
syd,red,"syd,sed,red",3
jam,hav,"jam,ham,hav",3
khi,udi,"khi,ahi,ani,uni,udi",5
tss,vac,"tss,vss,vas,vac",4
kaj,cab,"kaj,kab,cab",3
fastly,uncost,"fastly,lastly,lustly,justly,justle,fustle,fusile,fusils,fusels,fasels,easels,easers,eaters,enters,inters,inners,inness,innest,incest,incast,uncast,uncost",22
doze,mail,"doze,moze,maze,male,mall,mail",6
hoi,pah,"hoi,poi,poh,pah",4
gowl,rick,"gowl,bowl,bowk,bock,rock,rick",6
thack,nukes,"thack,chack,chick,chink,chins,cains,carns,curns,cures,cukes,nukes",11
hud,dft,"hud,aud,afd,aft,dft",5
exch,hapi,"exch,each,eath,hath,hati,hapi",6
laton,dimna,"laton,lapon,lapin,lipin,linin,linie,linne,liane,diane,diana,dimna",11
dir,hcf,"dir,sir,scr,scf,hcf",5
qty,rat,"qty,pty,pay,ray,rat",5
noil,asap,"noil,boil,bois,boas,blas,alas,alap,asap",8
frag,esca,"frag,drag,dreg,areg,area,arca,acca,ecca,esca",9
vel,cgs,"vel,vil,vis,cis,cgs",5
spewy,pilau,"spewy,skewy,skiwy,skivy,shivy,shily,saily,sally,pally,palay,palau,pilau",12
uzan,moot,"uzan,ezan,eoan,moan,moon,moot",6
bsh,zoo,"bsh,boh,boo,zoo",4
erk,sok,"erk,ark,auk,suk,sok",5
goody,plant,"goody,goods,goads,glads,glans,plans,plant",7
ave,hny,"ave,ane,any,hny",4
any,gis,"any,ans,gns,gis",4
exr,pax,"exr,ear,par,pax",4
mopes,boose,"mopes,mores,bores,boree,borne,boone,boose",7
pbx,soc,"pbx,pox,sox,soc",4
tyke,oozy,"tyke,toke,toze,ooze,oozy",5
rhymy,micky,"rhymy,thymy,thyms,tryms,trams,teams,reams,reaks,recks,ricks,micks,micky",12
tetter,kabaka,"tetter,petter,patter,pattee,pattle,cattle,cantle,canale,canals,cabals,cabala,kabala,kabaka",13
moir,loir,"moir,loir",2
cank,anno,"cank,bank,bani,aani,anni,anno",6
hissel,prismy,"hissel,hisses,pisses,posses,poises,prises,prisms,prismy",8
bixa,womb,"bixa,bima,boma,bomb,womb",5
cached,binate,"cached,bached,bathed,bathes,mathes,maties,matins,patins,patina,patana,patata,batata,balata,balate,banate,binate",16
str,hoy,"str,sty,soy,hoy",4
cpu,hah,"cpu,cpd,cad,had,hah",5
koph,byre,"koph,moph,mope,more,bore,byre",6
forb,uria,"forb,fora,kora,kona,krna,urna,uria",7
ife,ppa,"ife,ifs,ips,pps,ppa",5
seer,hant,"seer,beer,beet,bent,hent,hant",6
taw,shi,"taw,saw,sai,shi",4
xenia,logoi,"xenia,tenia,tania,mania,manis,manos,monos,mogos,logos,logoi",10
comma,iller,"comma,commy,coomy,cooey,cooer,coder,cider,aider,alder,aller,iller",11
irised,corals,"irised,prised,peised,peises,perses,verses,versts,verste,verite,nerite,norite,norate,morate,morale,morals,corals",16
wangan,bugong,"wangan,cangan,cancan,carcan,carian,carien,caries,maries,maties,matins,mating,bating,baring,barong,bagong,bugong",16
kedged,sindon,"kedged,ledged,ledger,lenger,lender,bender,bander,bandor,bandon,bondon,fondon,findon,sindon",13
peddled,sandies,"peddled,paddled,paddles,paddies,pandies,sandies",6
siss,buba,"siss,suss,buss,bubs,buba",5
baw,vet,"baw,vaw,vat,vet",4
sty,pyx,"sty,pty,pay,pax,pyx",5
egg,wop,"egg,eng,tng,tog,wog,wop",6
lang,ansa,"lang,bang,bani,aani,anni,ansi,ansa",7
yuruk,raids,"yuruk,yurak,yarak,yaray,maray,mardy,maidy,maids,raids",9
akey,jant,"akey,skey,suey,suet,sunt,junt,jant",7
asap,muse,"asap,alap,alae,albe,aube,rube,ruse,muse",8
dub,tbs,"dub,bub,bus,bbs,tbs",5
copter,callan,"copter,colter,culter,culler,caller,calles,callas,callan",8
cos,yah,"cos,bos,bas,yas,yah",5
mips,neum,"mips,dips,dies,dees,deem,neem,neum",7
nose,gush,"nose,nosh,gosh,gush",4
fanman,scopet,"fanman,canman,carman,tarman,terman,teaman,seaman,seamen,seamed,shamed,shaped,scaped,scoped,scopet",14
bops,argh,"bops,hops,hogs,hugs,hugh,augh,argh",7
fawning,drapers,"fawning,pawning,panning,panting,pantine,pantile,pastile,pastils,pastels,pasters,lasters,listers,lispers,lippers,dippers,diapers,drapers",17
knew,glop,"knew,know,gnow,glow,glop",5
jere,ivan,"jere,bere,bern,bean,sean,svan,ivan",7
dao,rhb,"dao,dab,rab,rhb",4
org,qui,"org,ord,oud,oui,qui",5
yerking,lappets,"yerking,perking,parking,marking,marting,matting,mattins,lattins,lattens,rattens,ratters,rasters,raspers,rappers,lappers,lappets",16
dyer,fozy,"dyer,doer,dorr,dory,dozy,fozy",6
ugt,cst,"ugt,ust,cst",3
yuk,ava,"yuk,auk,alk,ala,ava",5
six,vet,"six,sex,vex,vet",4
chats,speos,"chats,chaws,shaws,shews,spews,speos",6
scur,oyez,"scur,saur,daur,daer,dyer,oyer,oyez",7
plop,carf,"plop,clop,coop,corp,carp,carf",6
gamma,chese,"gamma,mamma,momma,comma,couma,cauma,causa,cause,chuse,chese",10
stetch,turkic,"stetch,stench,stanch,stance,scance,scarce,scarcy,scarey,scared,soared,soured,toured,touret,torret,turret,turmet,turmit,turbit,turbid,turpid,turpis,turkis,turkic",23
apply,congo,"apply,amply,ample,amole,atole,stole,stone,stony,soony,sonny,songy,songo,congo",13
bled,syll,"bled,sled,seed,seld,sell,syll",6
floran,defile,"floran,floras,flores,flares,flakes,flaked,feaked,peaked,pecked,picked,pickee,pickle,peckle,deckle,decile,defile",16
shank,jufti,"shank,thank,twank,twink,twins,twits,toits,tofts,tufts,jufts,jufti",11
fro,rie,"fro,bro,bio,rio,rie",5
isls,geed,"isls,ills,ells,eels,gels,gees,geed",7
alo,elf,"alo,alf,elf",3
steeve,cusser,"steeve,sterve,starve,staree,stared,seared,feared,feased,ceased,cessed,cussed,cusser",12
khud,rumb,"khud,chud,coud,roud,roue,rome,rume,rumb",8
ornes,oolly,"ornes,ernes,erses,eases,bases,bales,boles,bolls,bolly,oolly",10
ihi,mat,"ihi,chi,cai,cat,mat",5
radios,stoles,"radios,ratios,ration,ratton,ratten,rotten,rotter,sotter,sooter,stoter,stoker,stokes,stoles",13
ope,obv,"ope,obe,obv",3
snakier,coolers,"snakier,slakier,slatier,platier,peatier,pettier,puttier,putties,puttees,putters,cutters,cotters,coaters,coalers,coolers",15
bnf,ile,"bnf,inf,iff,ife,ile",5
lod,hsi,"lod,hod,hoi,hsi",4
haf,ike,"haf,oaf,off,iff,ife,ike",6
fala,keel,"fala,fall,fell,kell,keel",5
twirled,gullion,"twirled,swirled,skirled,skirted,skirter,skitter,smitter,smotter,smother,soother,boother,boothes,booties,boolies,woolies,woolier,woolder,woolded,woolled,woollen,woolmen,toolmen,tollmen,tollman,tillman,billman,billian,gillian,gillion,gullion",30
toning,aiglet,"toning,coning,coling,colins,colies,folies,folles,filles,rilles,rillet,riglet,aiglet",12
rok,law,"rok,row,low,law",4
ducs,ropy,"ducs,docs,rocs,roes,roey,ropy",6
bunked,tummed,"bunked,burked,burped,bumped,bummed,tummed",6
wer,sac,"wer,ser,sar,sac",4
tutus,lucks,"tutus,mutus,mucus,mucks,lucks",5
fronter,perused,"fronter,froster,fooster,booster,boaster,blaster,plaster,platter,platier,peatier,pettier,nettier,nettler,nettled,pettled,petaled,pedaled,pedated,redated,rerated,cerated,cerates,cerites,cerises,ceruses,peruses,perused",27
mab,taw,"mab,tab,taw",3
slipe,rooed,"slipe,swipe,swire,swore,sword,soord,loord,looed,rooed",9
ods,rfz,"ods,eds,efs,rfs,rfz",5
khir,rept,"khir,keir,keid,reid,reit,rept",6
mynas,calks,"mynas,manas,mamas,camas,calas,calks",6
favn,buds,"favn,fain,bain,bais,bads,buds",6
elt,vau,"elt,eat,vat,vau",4
outsing,tentage,"outsing,outsins,outsits,outsets,outlets,cutlets,cutlers,butlers,butters,betters,letters,lettern,lectern,lecturn,lecture,tecture,tenture,centure,centare,centage,tentage",21
muggur,rerate,"muggur,mugger,megger,merger,serger,serges,series,serins,serine,cerine,cerite,cerate,rerate",13
mem,few,"mem,fem,few",3
told,edna,"told,cold,cola,coda,cuda,euda,edda,edna",8
maad,pari,"maad,saad,sard,pard,pari",5
whited,jarble,"whited,waited,wanted,hanted,hanged,hangee,hangle,jangle,jargle,jarble",10
risper,insets,"risper,risser,rinser,rinses,ranses,ranees,rakees,rakers,raters,eaters,enters,inters,inners,inness,inless,inlets,insets",17
untack,darkle,"untack,untuck,unluck,unlock,uplock,uplick,uplink,upline,spline,saline,baline,babine,babite,barite,barile,barkle,darkle",17
cod,bac,"cod,bod,bad,bac",4
whun,laik,"whun,whin,wain,lain,laik",5
dee,ata,"dee,cee,cte,ate,ata",5
static,cannie,"static,stadic,stadie,stadle,stable,stably,staboy,stuboy,stubby,slubby,slobby,blobby,blowby,blowsy,blowse,browse,browst,browet,browed,crowed,chowed,chored,choree,cooree,coorie,corrie,carrie,carnie,cannie",29
neil,unie,"neil,neif,seif,seit,snit,unit,unie",7
dab,khu,"dab,dau,dhu,khu",4
hav,ron,"hav,han,ran,ron",4
rum,rug,"rum,rug",2
aced,lock,"aced,aked,sked,seed,leed,leek,leck,lock",8
yes,ind,"yes,aes,ans,ins,ind",5
fll,gor,"fll,fol,gol,gor",4
deas,quod,"deas,dead,duad,quad,quod",5
shes,link,"shes,sees,lees,lies,lins,link",6
kala,dusk,"kala,bala,balk,bulk,busk,dusk",6
ourie,costs,"ourie,curie,curia,coria,corta,costa,costs",7
drey,trub,"drey,trey,tree,true,trub",5
taino,snath,"taino,tains,sains,spins,spans,spats,spath,snath",8
dpt,liz,"dpt,dit,lit,liz",4
best,tice,"best,bist,bise,bice,tice",5
tanzy,namby,"tanzy,tanny,canny,carny,carby,cabby,nabby,namby",8
bat,fop,"bat,fat,fot,fop",4
orate,forcy,"orate,drate,drats,doats,dorts,forts,forty,forcy",8
ravi,bali,"ravi,kavi,kali,bali",4
photon,trials,"photon,proton,croton,craton,chaton,chiton,chiron,chiros,chinos,chines,chiles,chills,thills,trills,trials",15
dray,chmn,"dray,cray,chay,chan,chmn",5
stert,bleat,"stert,stent,slent,blent,bleat",5
gol,pit,"gol,pol,pil,pit",4
cts,fil,"cts,mts,mis,mil,fil",5
pali,eide,"pali,bali,bale,bile,bide,eide",6
rfz,alo,"rfz,rfb,afb,alb,alo",5
dca,don,"dca,doa,don",3
kru,one,"kru,aru,are,ore,one",5
jos,van,"jos,jon,von,van",4
proo,thak,"proo,phoo,thoo,thon,than,thak",6
sipe,loft,"sipe,sife,life,lift,loft",5
yawned,pealed,"yawned,pawned,pained,peined,peened,peeled,pealed",7
clonk,shuns,"clonk,slonk,stonk,stunk,stuns,shuns",6
feet,burp,"feet,beet,bert,burt,burp",5
odz,gph,"odz,ods,gds,gps,gph",5
marah,dobby,"marah,march,marci,darci,darcy,darby,dabby,dobby",8
lobo,spag,"lobo,loco,soco,sock,soak,spak,spag",7
yor,ohm,"yor,cor,com,chm,ohm",5
decreet,conteck,"decreet,decrees,decries,derries,herries,hurries,hurdies,burdies,bundies,bendies,bendees,benders,bonders,bonkers,conkers,confers,confess,confest,contest,contect,conteck",21
sho,won,"sho,who,woo,won",4
chi,fum,"chi,chm,cum,fum",4
mab,cir,"mab,cab,car,cir",4
dib,cpu,"dib,did,cid,cpd,cpu",5
human,serve,"human,haman,saman,saran,sarin,serin,serio,servo,serve",9
meak,coak,"meak,reak,roak,coak",4
fixt,virl,"fixt,filt,fill,vill,virl",5
glos,poti,"glos,clos,coos,cots,pots,poti",6
colic,sabed,"colic,calic,calid,canid,caned,saned,sabed",7
ross,skeo,"ross,soss,sess,sees,seed,sked,skeo",7
lawk,naos,"lawk,laws,laos,naos",4
uraei,bungs,"uraei,urari,urare,urate,drate,drats,brats,beats,bents,bunts,bungs",11
sdeath,waired,"sdeath,sweath,swelth,swelty,shelty,shelly,shilly,whilly,whiley,whiled,wailed,waired",12
mibs,jger,"mibs,dibs,debs,dees,jees,jeer,jger",7
zak,ric,"zak,oak,oik,rik,ric",5
dirt,bony,"dirt,birt,bort,bora,bona,bony",6
cfh,pkt,"cfh,cfd,pfd,pad,pat,pkt",6
unroped,cantico,"unroped,unraped,uncaped,uncased,uncases,uneases,ureases,creases,cresses,chesses,chesser,chester,chaster,chanter,chunter,counter,coulter,coulier,collier,collies,collins,colling,calling,carling,carting,canting,cantino,cantico",28
bewig,skoal,"bewig,bewit,bewet,rewet,rewed,sewed,sered,shred,shoed,shoad,shoal,skoal",12
glew,than,"glew,clew,chew,thew,thaw,than",6
besew,capon,"besew,beset,beret,baret,caret,carot,capot,capon",8
lushed,lurdan,"lushed,lashed,washed,wasted,warted,warded,worded,worden,jorden,jordan,lordan,lurdan",12
vum,aor,"vum,aum,aim,air,aor",5
gasps,sarin,"gasps,hasps,harps,hards,sards,saris,sarin",7
tat,ami,"tat,fat,fmt,amt,ami",5
toyon,wagga,"toyon,toyos,boyos,bonos,bongs,bangs,banga,wanga,wagga",9
creel,beams,"creel,crees,brees,braes,brads,beads,beams",7
malar,drool,"malar,palar,palay,pally,dally,daily,drily,drill,droll,drool",10
stoled,carets,"stoled,styled,soyled,soiled,coiled,cooled,cooeed,cooees,cooers,corers,carers,carets",12
dsri,ding,"dsri,dari,dani,dang,ding",5
fgn,qed,"fgn,fen,fed,qed",4
laddery,flanned,"laddery,ladders,landers,banders,benders,bendees,bendies,bennies,beanies,beanier,beakier,peakier,peatier,platier,platter,planter,planner,planned,flanned",19
dwang,mirky,"dwang,swang,slang,plang,plans,peans,peaks,perks,merks,mirks,mirky",11
minge,wheen,"minge,singe,siege,sieve,steve,stere,stern,steen,sheen,wheen",10
adod,naso,"adod,alod,slod,slid,said,naid,naio,naso",8
but,abb,"but,bet,aet,abt,abb",5
